NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_SPECIES_GO:1900075_POSITIVE_REGULATION_OF_NEUROMUSCULAR_SYNAPTIC_TRANSMISSION	26		Rejected!	
GOBP_SPECIES_GO:1900076_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	115	64		
GOBP_SPECIES_GO:1900077_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	82	44		
GOBP_SPECIES_GO:1900078_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	41	25		
GOBP_SPECIES_GO:1900087_POSITIVE_REGULATION_OF_G1/S_TRANSITION_OF_MITOTIC_CELL_CYCLE	25	16		
GOBP_SPECIES_GO:1900101_REGULATION_OF_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE	2		Rejected!	
GOBP_SPECIES_GO:1900102_NEGATIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE	2		Rejected!	
GOBP_SPECIES_GO:1900109_REGULATION_OF_HISTONE_H3-K9_DIMETHYLATION	13		Rejected!	
GOBP_SPECIES_GO:1900111_POSITIVE_REGULATION_OF_HISTONE_H3-K9_DIMETHYLATION	13		Rejected!	
GOBP_SPECIES_GO:1900112_REGULATION_OF_HISTONE_H3-K9_TRIMETHYLATION	2		Rejected!	
GOBP_SPECIES_GO:1900114_POSITIVE_REGULATION_OF_HISTONE_H3-K9_TRIMETHYLATION	2		Rejected!	
GOBP_SPECIES_GO:1900117_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS	12		Rejected!	
GOBP_SPECIES_GO:1900118_NEGATIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS	6		Rejected!	
GOBP_SPECIES_GO:1900144_POSITIVE_REGULATION_OF_BMP_SECRETION	3		Rejected!	
GOBP_SPECIES_GO:1900150_REGULATION_OF_DEFENSE_RESPONSE_TO_FUNGUS	33	27		
GOBP_SPECIES_GO:1900151_REGULATION_OF_NUCLEAR-TRANSCRIBED_MR_CATABOLIC_PROCESS,_DEADENYLATION-DEPENDENT_DECAY	2		Rejected!	
GOBP_SPECIES_GO:1900153_POSITIVE_REGULATION_OF_NUCLEAR-TRANSCRIBED_MR_CATABOLIC_PROCESS,_DEADENYLATION-DEPENDENT_DECAY	2		Rejected!	
GOBP_SPECIES_GO:1900180_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	50	28		
GOBP_SPECIES_GO:1900181_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	21		Rejected!	
GOBP_SPECIES_GO:1900182_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	18	15		
GOBP_SPECIES_GO:1900186_NEGATIVE_REGULATION_OF_CLATHRIN-DEPENDENT_ENDOCYTOSIS	3		Rejected!	
GOBP_SPECIES_GO:1900242_REGULATION_OF_SYNAPTIC_VESICLE_ENDOCYTOSIS	35	17		
GOBP_SPECIES_GO:1900244_POSITIVE_REGULATION_OF_SYNAPTIC_VESICLE_ENDOCYTOSIS	21		Rejected!	
GOBP_SPECIES_GO:1900247_REGULATION_OF_CYTOPLASMIC_TRANSLATIONAL_ELONGATION	8		Rejected!	
GOBP_SPECIES_GO:1900262_REGULATION_OF_D-DIRECTED_D_POLYMERASE_ACTIVITY	4		Rejected!	
GOBP_SPECIES_GO:1900264_POSITIVE_REGULATION_OF_D-DIRECTED_D_POLYMERASE_ACTIVITY	4		Rejected!	
GOBP_SPECIES_GO:1900274_REGULATION_OF_PHOSPHOLIPASE_C_ACTIVITY	10		Rejected!	
GOBP_SPECIES_GO:1900363_REGULATION_OF_MR_POLYADENYLATION	9		Rejected!	
GOBP_SPECIES_GO:1900364_NEGATIVE_REGULATION_OF_MR_POLYADENYLATION	3		Rejected!	
GOBP_SPECIES_GO:1900368_REGULATION_OF_POST-TRANSCRIPTIONAL_GENE_SILENCING_BY_R	51	33		
GOBP_SPECIES_GO:1900369_NEGATIVE_REGULATION_OF_POST-TRANSCRIPTIONAL_GENE_SILENCING_BY_R	14		Rejected!	
GOBP_SPECIES_GO:1900370_POSITIVE_REGULATION_OF_POST-TRANSCRIPTIONAL_GENE_SILENCING_BY_R	33	19		
GOBP_SPECIES_GO:1900371_REGULATION_OF_PURINE_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	22	19		
GOBP_SPECIES_GO:1900373_POSITIVE_REGULATION_OF_PURINE_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	20	17		
GOBP_SPECIES_GO:1900376_REGULATION_OF_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS	3		Rejected!	
GOBP_SPECIES_GO:1900377_NEGATIVE_REGULATION_OF_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS	3		Rejected!	
GOBP_SPECIES_GO:1900407_REGULATION_OF_CELLULAR_RESPONSE_TO_OXIDATIVE_STRESS	21	16		
GOBP_SPECIES_GO:1900408_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_OXIDATIVE_STRESS	4		Rejected!	
GOBP_SPECIES_GO:1900424_REGULATION_OF_DEFENSE_RESPONSE_TO_BACTERIUM	234	135		
GOBP_SPECIES_GO:1900425_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_BACTERIUM	104	55		
GOBP_SPECIES_GO:1900426_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_BACTERIUM	133	82		
GOBP_SPECIES_GO:1900542_REGULATION_OF_PURINE_NUCLEOTIDE_METABOLIC_PROCESS	49	28		
GOBP_SPECIES_GO:1900544_POSITIVE_REGULATION_OF_PURINE_NUCLEOTIDE_METABOLIC_PROCESS	32	22		
GOBP_SPECIES_GO:1900619_ACETATE_ESTER_METABOLIC_PROCESS	6		Rejected!	
GOBP_SPECIES_GO:1900620_ACETATE_ESTER_BIOSYNTHETIC_PROCESS	4		Rejected!	
GOBP_SPECIES_GO:1900736_REGULATION_OF_PHOSPHOLIPASE_C-ACTIVATING_G_PROTEIN-COUPLED_RECEPTOR_SIGNALING_PATHWAY	5		Rejected!	
GOBP_SPECIES_GO:1900738_POSITIVE_REGULATION_OF_PHOSPHOLIPASE_C-ACTIVATING_G_PROTEIN-COUPLED_RECEPTOR_SIGNALING_PATHWAY	5		Rejected!	
GOBP_SPECIES_GO:1900744_REGULATION_OF_P38MAPK_CASCADE	8		Rejected!	
GOBP_SPECIES_GO:1900745_POSITIVE_REGULATION_OF_P38MAPK_CASCADE	4		Rejected!	
GOBP_SPECIES_GO:1900864_MITOCHONDRIAL_R_MODIFICATION	5		Rejected!	
GOBP_SPECIES_GO:1901004_UBIQUINONE-6_METABOLIC_PROCESS	2		Rejected!	
GOBP_SPECIES_GO:1901006_UBIQUINONE-6_BIOSYNTHETIC_PROCESS	2		Rejected!	
GOBP_SPECIES_GO:1901016_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	32	24		
GOBP_SPECIES_GO:1901018_POSITIVE_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	29	22		
GOBP_SPECIES_GO:1901019_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	16		Rejected!	
GOBP_SPECIES_GO:1901020_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	5		Rejected!	
GOBP_SPECIES_GO:1901021_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	11		Rejected!	
GOBP_SPECIES_GO:1901028_REGULATION_OF_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY	4		Rejected!	
GOBP_SPECIES_GO:1901029_NEGATIVE_REGULATION_OF_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY	4		Rejected!	
GOBP_SPECIES_GO:1901031_REGULATION_OF_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	2		Rejected!	
GOBP_SPECIES_GO:1901032_NEGATIVE_REGULATION_OF_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	2		Rejected!	
GOBP_SPECIES_GO:1901044_PROTEIN_POLYUBIQUITINATION_INVOLVED_IN_NUCLEUS-ASSOCIATED_PROTEASOMAL_UBIQUITIN-DEPENDENT_PROTEIN_CATABOLIC_PROCESS	13		Rejected!	
GOBP_SPECIES_GO:1901052_SARCOSINE_METABOLIC_PROCESS	10		Rejected!	
GOBP_SPECIES_GO:1901053_SARCOSINE_CATABOLIC_PROCESS	8		Rejected!	
GOBP_SPECIES_GO:1901054_SARCOSINE_BIOSYNTHETIC_PROCESS	2		Rejected!	
GOBP_SPECIES_GO:1901071_GLUCOSAMINE-CONTAINING_COMPOUND_METABOLIC_PROCESS	60	45		
GOBP_SPECIES_GO:1901072_GLUCOSAMINE-CONTAINING_COMPOUND_CATABOLIC_PROCESS	41	28		
GOBP_SPECIES_GO:1901073_GLUCOSAMINE-CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	6		Rejected!	
GOBP_SPECIES_GO:1901096_REGULATION_OF_AUTOPHAGOSOME_MATURATION	21		Rejected!	
GOBP_SPECIES_GO:1901098_POSITIVE_REGULATION_OF_AUTOPHAGOSOME_MATURATION	15		Rejected!	
GOBP_SPECIES_GO:1901135_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS	844		Rejected!	
GOBP_SPECIES_GO:1901136_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS	119	86		
GOBP_SPECIES_GO:1901137_CARBOHYDRATE_DERIVATIVE_BIOSYNTHETIC_PROCESS	536	392		
GOBP_SPECIES_GO:1901142_INSULIN_METABOLIC_PROCESS	2		Rejected!	
GOBP_SPECIES_GO:1901143_INSULIN_CATABOLIC_PROCESS	2		Rejected!	
GOBP_SPECIES_GO:1901148_GENE_EXPRESSION_INVOLVED_IN_EXTRACELLULAR_MATRIX_ORGANIZATION	4		Rejected!	
GOBP_SPECIES_GO:1901160_PRIMARY_AMINO_COMPOUND_METABOLIC_PROCESS	12		Rejected!	
GOBP_SPECIES_GO:1901161_PRIMARY_AMINO_COMPOUND_CATABOLIC_PROCESS	2		Rejected!	
GOBP_SPECIES_GO:1901162_PRIMARY_AMINO_COMPOUND_BIOSYNTHETIC_PROCESS	7		Rejected!	
GOBP_SPECIES_GO:1901184_REGULATION_OF_ERBB_SIGNALING_PATHWAY	128	78		
GOBP_SPECIES_GO:1901185_NEGATIVE_REGULATION_OF_ERBB_SIGNALING_PATHWAY	83	51		
GOBP_SPECIES_GO:1901186_POSITIVE_REGULATION_OF_ERBB_SIGNALING_PATHWAY	39	22		
GOBP_SPECIES_GO:1901201_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY	8		Rejected!	
GOBP_SPECIES_GO:1901202_NEGATIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY	2		Rejected!	
GOBP_SPECIES_GO:1901203_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY	6		Rejected!	
GOBP_SPECIES_GO:1901214_REGULATION_OF_NEURON_DEATH	122	75		
GOBP_SPECIES_GO:1901215_NEGATIVE_REGULATION_OF_NEURON_DEATH	95	56		
GOBP_SPECIES_GO:1901216_POSITIVE_REGULATION_OF_NEURON_DEATH	27	19		
GOBP_SPECIES_GO:1901222_REGULATION_OF_NIK/NF-KAPPAB_SIGNALING	4		Rejected!	
GOBP_SPECIES_GO:1901223_NEGATIVE_REGULATION_OF_NIK/NF-KAPPAB_SIGNALING	2		Rejected!	
GOBP_SPECIES_GO:1901224_POSITIVE_REGULATION_OF_NIK/NF-KAPPAB_SIGNALING	2		Rejected!	
GOBP_SPECIES_GO:1901255_NUCLEOTIDE-EXCISION_REPAIR_INVOLVED_IN_INTERSTRAND_CROSS-LINK_REPAIR	8		Rejected!	
GOBP_SPECIES_GO:1901264_CARBOHYDRATE_DERIVATIVE_TRANSPORT	46	32		
GOBP_SPECIES_GO:1901291_NEGATIVE_REGULATION_OF_DOUBLE-STRAND_BREAK_REPAIR_VIA_SINGLE-STRAND_ANNEALING	6		Rejected!	
GOBP_SPECIES_GO:1901292_NUCLEOSIDE_PHOSPHATE_CATABOLIC_PROCESS	32	29		
GOBP_SPECIES_GO:1901293_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS	284	199		
GOBP_SPECIES_GO:1901314_REGULATION_OF_HISTONE_H2A_K63-LINKED_UBIQUITINATION	4		Rejected!	
GOBP_SPECIES_GO:1901315_NEGATIVE_REGULATION_OF_HISTONE_H2A_K63-LINKED_UBIQUITINATION	4		Rejected!	
GOBP_SPECIES_GO:1901317_REGULATION_OF_FLAGELLATED_SPERM_MOTILITY	6		Rejected!	
GOBP_SPECIES_GO:1901334_LACTONE_METABOLIC_PROCESS	7		Rejected!	
GOBP_SPECIES_GO:1901336_LACTONE_BIOSYNTHETIC_PROCESS	7		Rejected!	
GOBP_SPECIES_GO:1901337_THIOESTER_TRANSPORT	4		Rejected!	
GOBP_SPECIES_GO:1901339_REGULATION_OF_STORE-OPERATED_CALCIUM_CHANNEL_ACTIVITY	3		Rejected!	
GOBP_SPECIES_GO:1901341_POSITIVE_REGULATION_OF_STORE-OPERATED_CALCIUM_CHANNEL_ACTIVITY	3		Rejected!	
GOBP_SPECIES_GO:1901360_ORGANIC_CYCLIC_COMPOUND_METABOLIC_PROCESS	4788		Rejected!	
GOBP_SPECIES_GO:1901361_ORGANIC_CYCLIC_COMPOUND_CATABOLIC_PROCESS	400	267		
GOBP_SPECIES_GO:1901362_ORGANIC_CYCLIC_COMPOUND_BIOSYNTHETIC_PROCESS	3011		Rejected!	
GOBP_SPECIES_GO:1901374_ACETATE_ESTER_TRANSPORT	5		Rejected!	
GOBP_SPECIES_GO:1901379_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORT	38	28		
GOBP_SPECIES_GO:1901381_POSITIVE_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORT	29	22		
GOBP_SPECIES_GO:1901385_REGULATION_OF_VOLTAGE-GATED_CALCIUM_CHANNEL_ACTIVITY	6		Rejected!	
GOBP_SPECIES_GO:1901386_NEGATIVE_REGULATION_OF_VOLTAGE-GATED_CALCIUM_CHANNEL_ACTIVITY	4		Rejected!	
GOBP_SPECIES_GO:1901387_POSITIVE_REGULATION_OF_VOLTAGE-GATED_CALCIUM_CHANNEL_ACTIVITY	2		Rejected!	
GOBP_SPECIES_GO:1901407_REGULATION_OF_PHOSPHORYLATION_OF_R_POLYMERASE_II_C-TERMINAL_DOMAIN	3		Rejected!	
GOBP_SPECIES_GO:1901416_REGULATION_OF_RESPONSE_TO_ETHANOL	6		Rejected!	
GOBP_SPECIES_GO:1901418_POSITIVE_REGULATION_OF_RESPONSE_TO_ETHANOL	2		Rejected!	
GOBP_SPECIES_GO:1901419_REGULATION_OF_RESPONSE_TO_ALCOHOL	13		Rejected!	
GOBP_SPECIES_GO:1901420_NEGATIVE_REGULATION_OF_RESPONSE_TO_ALCOHOL	2		Rejected!	
GOBP_SPECIES_GO:1901421_POSITIVE_REGULATION_OF_RESPONSE_TO_ALCOHOL	2		Rejected!	
GOBP_SPECIES_GO:1901475_PYRUVATE_TRANSMEMBRANE_TRANSPORT	17	15		
GOBP_SPECIES_GO:1901503_ETHER_BIOSYNTHETIC_PROCESS	31	21		
GOBP_SPECIES_GO:1901532_REGULATION_OF_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	2		Rejected!	
GOBP_SPECIES_GO:1901533_NEGATIVE_REGULATION_OF_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	2		Rejected!	
GOBP_SPECIES_GO:1901535_REGULATION_OF_D_DEMETHYLATION	2		Rejected!	
GOBP_SPECIES_GO:1901537_POSITIVE_REGULATION_OF_D_DEMETHYLATION	2		Rejected!	
GOBP_SPECIES_GO:1901562_RESPONSE_TO_PARAQUAT	9		Rejected!	
GOBP_SPECIES_GO:1901564_ORGANONITROGEN_COMPOUND_METABOLIC_PROCESS	5262		Rejected!	
GOBP_SPECIES_GO:1901565_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS	1123		Rejected!	
GOBP_SPECIES_GO:1901566_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS	1758		Rejected!	
GOBP_SPECIES_GO:1901568_FATTY_ACID_DERIVATIVE_METABOLIC_PROCESS	52	41		
GOBP_SPECIES_GO:1901569_FATTY_ACID_DERIVATIVE_CATABOLIC_PROCESS	3		Rejected!	
GOBP_SPECIES_GO:1901570_FATTY_ACID_DERIVATIVE_BIOSYNTHETIC_PROCESS	42	31		
GOBP_SPECIES_GO:1901575_ORGANIC_SUBSTANCE_CATABOLIC_PROCESS	1818		Rejected!	
GOBP_SPECIES_GO:1901576_ORGANIC_SUBSTANCE_BIOSYNTHETIC_PROCESS	4547		Rejected!	
GOBP_SPECIES_GO:1901605_ALPHA-AMINO_ACID_METABOLIC_PROCESS	280	214		
GOBP_SPECIES_GO:1901606_ALPHA-AMINO_ACID_CATABOLIC_PROCESS	135	107		
GOBP_SPECIES_GO:1901607_ALPHA-AMINO_ACID_BIOSYNTHETIC_PROCESS	122	88		
GOBP_SPECIES_GO:1901608_REGULATION_OF_VESICLE_TRANSPORT_ALONG_MICROTUBULE	2		Rejected!	
GOBP_SPECIES_GO:1901610_POSITIVE_REGULATION_OF_VESICLE_TRANSPORT_ALONG_MICROTUBULE	2		Rejected!	
GOBP_SPECIES_GO:1901615_ORGANIC_HYDROXY_COMPOUND_METABOLIC_PROCESS	425	292		
GOBP_SPECIES_GO:1901616_ORGANIC_HYDROXY_COMPOUND_CATABOLIC_PROCESS	51	37		
GOBP_SPECIES_GO:1901617_ORGANIC_HYDROXY_COMPOUND_BIOSYNTHETIC_PROCESS	143	107		
GOBP_SPECIES_GO:1901632_REGULATION_OF_SYNAPTIC_VESICLE_MEMBRANE_ORGANIZATION	11		Rejected!	
GOBP_SPECIES_GO:1901633_NEGATIVE_REGULATION_OF_SYNAPTIC_VESICLE_MEMBRANE_ORGANIZATION	6		Rejected!	
GOBP_SPECIES_GO:1901642_NUCLEOSIDE_TRANSMEMBRANE_TRANSPORT	9		Rejected!	
GOBP_SPECIES_GO:1901648_REGULATION_OF_ACTOMYOSIN_CONTRACTILE_RING_LOCALIZATION	7		Rejected!	
GOBP_SPECIES_GO:1901652_RESPONSE_TO_PEPTIDE	229	135		
GOBP_SPECIES_GO:1901653_CELLULAR_RESPONSE_TO_PEPTIDE	227	133		
GOBP_SPECIES_GO:1901654_RESPONSE_TO_KETONE	182	95		
GOBP_SPECIES_GO:1901655_CELLULAR_RESPONSE_TO_KETONE	88	37		
GOBP_SPECIES_GO:1901657_GLYCOSYL_COMPOUND_METABOLIC_PROCESS	54	32		
GOBP_SPECIES_GO:1901658_GLYCOSYL_COMPOUND_CATABOLIC_PROCESS	32	20		
GOBP_SPECIES_GO:1901659_GLYCOSYL_COMPOUND_BIOSYNTHETIC_PROCESS	11		Rejected!	
GOBP_SPECIES_GO:1901661_QUINONE_METABOLIC_PROCESS	41	23		
GOBP_SPECIES_GO:1901663_QUINONE_BIOSYNTHETIC_PROCESS	38	21		
GOBP_SPECIES_GO:1901673_REGULATION_OF_MITOTIC_SPINDLE_ASSEMBLY	11		Rejected!	
GOBP_SPECIES_GO:1901678_IRON_COORDINATION_ENTITY_TRANSPORT	26		Rejected!	
GOBP_SPECIES_GO:1901679_NUCLEOTIDE_TRANSMEMBRANE_TRANSPORT	17		Rejected!	
GOBP_SPECIES_GO:1901692_REGULATION_OF_COMPOUND_EYE_RETINAL_CELL_APOPTOTIC_PROCESS	4		Rejected!	
GOBP_SPECIES_GO:1901694_POSITIVE_REGULATION_OF_COMPOUND_EYE_RETINAL_CELL_APOPTOTIC_PROCESS	3		Rejected!	
GOBP_SPECIES_GO:1901698_RESPONSE_TO_NITROGEN_COMPOUND	509	327		
GOBP_SPECIES_GO:1901699_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	326	205		
GOBP_SPECIES_GO:1901700_RESPONSE_TO_OXYGEN-CONTAINING_COMPOUND	939		Rejected!	
GOBP_SPECIES_GO:1901701_CELLULAR_RESPONSE_TO_OXYGEN-CONTAINING_COMPOUND	527	335		
GOBP_SPECIES_GO:1901704_L-GLUTAMINE_BIOSYNTHETIC_PROCESS	3		Rejected!	
GOBP_SPECIES_GO:1901739_REGULATION_OF_MYOBLAST_FUSION	54	26		
GOBP_SPECIES_GO:1901796_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	18	15		
GOBP_SPECIES_GO:1901797_NEGATIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	13		Rejected!	
GOBP_SPECIES_GO:1901798_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	3		Rejected!	
GOBP_SPECIES_GO:1901799_NEGATIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	27	16		
GOBP_SPECIES_GO:1901800_POSITIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	218	160		
GOBP_SPECIES_GO:1901836_REGULATION_OF_TRANSCRIPTION_OF_NUCLEOLAR_LARGE_RR_BY_R_POLYMERASE_I	9		Rejected!	
GOBP_SPECIES_GO:1901838_POSITIVE_REGULATION_OF_TRANSCRIPTION_OF_NUCLEOLAR_LARGE_RR_BY_R_POLYMERASE_I	8		Rejected!	
GOBP_SPECIES_GO:1901841_REGULATION_OF_HIGH_VOLTAGE-GATED_CALCIUM_CHANNEL_ACTIVITY	2		Rejected!	
GOBP_SPECIES_GO:1901842_NEGATIVE_REGULATION_OF_HIGH_VOLTAGE-GATED_CALCIUM_CHANNEL_ACTIVITY	2		Rejected!	
GOBP_SPECIES_GO:1901857_POSITIVE_REGULATION_OF_CELLULAR_RESPIRATION	20		Rejected!	
GOBP_SPECIES_GO:1901858_REGULATION_OF_MITOCHONDRIAL_D_METABOLIC_PROCESS	3		Rejected!	
GOBP_SPECIES_GO:1901860_POSITIVE_REGULATION_OF_MITOCHONDRIAL_D_METABOLIC_PROCESS	3		Rejected!	
GOBP_SPECIES_GO:1901861_REGULATION_OF_MUSCLE_TISSUE_DEVELOPMENT	15		Rejected!	
GOBP_SPECIES_GO:1901862_NEGATIVE_REGULATION_OF_MUSCLE_TISSUE_DEVELOPMENT	2		Rejected!	
GOBP_SPECIES_GO:1901879_REGULATION_OF_PROTEIN_DEPOLYMERIZATION	81	38		
GOBP_SPECIES_GO:1901880_NEGATIVE_REGULATION_OF_PROTEIN_DEPOLYMERIZATION	65	33		
GOBP_SPECIES_GO:1901881_POSITIVE_REGULATION_OF_PROTEIN_DEPOLYMERIZATION	15		Rejected!	
GOBP_SPECIES_GO:1901888_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	428	228		
GOBP_SPECIES_GO:1901889_NEGATIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	132	76		
GOBP_SPECIES_GO:1901890_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	164	95		
GOBP_SPECIES_GO:1901894_REGULATION_OF_ATPASE-COUPLED_CALCIUM_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	7		Rejected!	
GOBP_SPECIES_GO:1901896_POSITIVE_REGULATION_OF_ATPASE-COUPLED_CALCIUM_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	6		Rejected!	
GOBP_SPECIES_GO:1901906_DIADENOSINE_PENTAPHOSPHATE_METABOLIC_PROCESS	3		Rejected!	
GOBP_SPECIES_GO:1901907_DIADENOSINE_PENTAPHOSPHATE_CATABOLIC_PROCESS	3		Rejected!	
GOBP_SPECIES_GO:1901908_DIADENOSINE_HEXAPHOSPHATE_METABOLIC_PROCESS	3		Rejected!	
GOBP_SPECIES_GO:1901909_DIADENOSINE_HEXAPHOSPHATE_CATABOLIC_PROCESS	3		Rejected!	
GOBP_SPECIES_GO:1901910_ADENOSINE_5	4		Rejected!	
GOBP_SPECIES_GO:1901911_ADENOSINE_5	4		Rejected!	
GOBP_SPECIES_GO:1901962_S-ADENOSYL-L-METHIONINE_TRANSMEMBRANE_TRANSPORT	2		Rejected!	
GOBP_SPECIES_GO:1901970_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION	35	22		
GOBP_SPECIES_GO:1901976_REGULATION_OF_CELL_CYCLE_CHECKPOINT	12		Rejected!	
GOBP_SPECIES_GO:1901977_NEGATIVE_REGULATION_OF_CELL_CYCLE_CHECKPOINT	3		Rejected!	
GOBP_SPECIES_GO:1901978_POSITIVE_REGULATION_OF_CELL_CYCLE_CHECKPOINT	4		Rejected!	
GOBP_SPECIES_GO:1901983_REGULATION_OF_PROTEIN_ACETYLATION	40	19		
GOBP_SPECIES_GO:1901984_NEGATIVE_REGULATION_OF_PROTEIN_ACETYLATION	4		Rejected!	
GOBP_SPECIES_GO:1901985_POSITIVE_REGULATION_OF_PROTEIN_ACETYLATION	9		Rejected!	
GOBP_SPECIES_GO:1901987_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	298	194		
GOBP_SPECIES_GO:1901988_NEGATIVE_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	167	103		
GOBP_SPECIES_GO:1901989_POSITIVE_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	73	49		
GOBP_SPECIES_GO:1901990_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	244	161		
GOBP_SPECIES_GO:1901991_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	115	69		
GOBP_SPECIES_GO:1901992_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	70	46		
GOBP_SPECIES_GO:1901993_REGULATION_OF_MEIOTIC_CELL_CYCLE_PHASE_TRANSITION	2		Rejected!	
GOBP_SPECIES_GO:1901999_HOMOGENTISATE_METABOLIC_PROCESS	4		Rejected!	
GOBP_SPECIES_GO:1902000_HOMOGENTISATE_CATABOLIC_PROCESS	4		Rejected!	
GOBP_SPECIES_GO:1902001_FATTY_ACID_TRANSMEMBRANE_TRANSPORT	3		Rejected!	
GOBP_SPECIES_GO:1902017_REGULATION_OF_CILIUM_ASSEMBLY	6		Rejected!	
GOBP_SPECIES_GO:1902018_NEGATIVE_REGULATION_OF_CILIUM_ASSEMBLY	2		Rejected!	
GOBP_SPECIES_GO:1902019_REGULATION_OF_CILIUM-DEPENDENT_CELL_MOTILITY	6		Rejected!	
GOBP_SPECIES_GO:1902022_L-LYSINE_TRANSPORT	12		Rejected!	
GOBP_SPECIES_GO:1902031_REGULATION_OF_DP_METABOLIC_PROCESS	5		Rejected!	
GOBP_SPECIES_GO:1902036_REGULATION_OF_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION	2		Rejected!	
GOBP_SPECIES_GO:1902037_NEGATIVE_REGULATION_OF_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION	2		Rejected!	
GOBP_SPECIES_GO:1902047_POLYAMINE_TRANSMEMBRANE_TRANSPORT	5		Rejected!	
GOBP_SPECIES_GO:1902074_RESPONSE_TO_SALT	2		Rejected!	
GOBP_SPECIES_GO:1902075_CELLULAR_RESPONSE_TO_SALT	2		Rejected!	
